dependency_signal,program,source_repo,item_type,item_number,title,risk_level,delay_risk_score,time_since_update_days,labels,item_url
Blocker Or External Dependency,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141106,dra/client: use the v1beta2 client for UpdateStatus,High,99.0,0.72,kind/bug | lgtm | sig/node | release-note | size/M | cncf-cla: yes | ok-to-test | needs-priority | needs-triage | wg/device-management,https://github.com/kubernetes/kubernetes/pull/141106
Needs Triage Or Clarification,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141070,memorymanager: restore pod hints from pod allocation,High,99.0,6.32,kind/bug | priority/critical-urgent | area/kubelet | lgtm | sig/node | release-note | size/M | cncf-cla: yes | triage/accepted,https://github.com/kubernetes/kubernetes/pull/141070
Blocker Or External Dependency,Runtime Platform Stabilization,nodejs/node,Pull Request,65017,perf_hooks: add missing resource timing attributes,High,98.9,14.32,needs-ci,https://github.com/nodejs/node/pull/65017
Blocker Or External Dependency,Runtime Platform Stabilization,nodejs/node,Pull Request,65010,http: reject responses exceeding header limit,High,98.9,11.69,c++ | semver-major | http_parser | needs-ci,https://github.com/nodejs/node/pull/65010
Blocker Or External Dependency,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141098,client-go: fix RealFIFO.Resync wrapping the wrong error,High,98.9,6.47,kind/bug | lgtm | sig/api-machinery | size/S | release-note-none | approved | cncf-cla: yes | ok-to-test | needs-priority | needs-triage,https://github.com/kubernetes/kubernetes/pull/141098
Blocker Or External Dependency,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141114,kubelet: test internal container lifecycle,High,98.9,15.98,area/kubelet | kind/cleanup | sig/node | size/L | release-note-none | cncf-cla: yes | needs-ok-to-test | needs-priority | needs-triage,https://github.com/kubernetes/kubernetes/pull/141114
Blocker Or External Dependency,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141108,DRA: invoke ResourceSlice update errors outside the controller lock,High,98.8,1.51,kind/bug | sig/node | release-note | size/M | cncf-cla: yes | needs-ok-to-test | needs-priority | needs-triage | wg/device-management,https://github.com/kubernetes/kubernetes/pull/141108
Needs Triage Or Clarification,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141077,memorymanager: preserve restored pod allocations,High,98.8,6.34,kind/bug | priority/critical-urgent | area/kubelet | lgtm | sig/node | size/S | release-note-none | approved | cncf-cla: yes | triage/accepted,https://github.com/kubernetes/kubernetes/pull/141077
Blocker Or External Dependency,Runtime Platform Stabilization,nodejs/node,Pull Request,65008,Create parent directories for test reporter destinations,High,98.8,1.13,needs-ci | test_runner,https://github.com/nodejs/node/pull/65008
Blocker Or External Dependency,Cloud Native Platform Reliability,kubernetes/kubernetes,Issue,141103,DRA: ExtendedResourceCache serves stale mappings and can drop the winner across DeviceClass updates and collisions,High,98.7,16.83,kind/bug | sig/scheduling | needs-triage | wg/device-management,https://github.com/kubernetes/kubernetes/issues/141103
Blocker Or External Dependency,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141168,Expand status field wiping detection,High,98.6,0.19,area/test | kind/cleanup | lgtm | sig/api-machinery | size/M | release-note-none | sig/apps | approved | cncf-cla: yes | sig/testing | needs-priority | triage/accepted,https://github.com/kubernetes/kubernetes/pull/141168
Blocker Or External Dependency,Runtime Platform Stabilization,nodejs/node,Pull Request,65020,cluster: report EADDRINUSE when a worker listens twice on the same port,High,98.6,8.72,cluster | needs-ci,https://github.com/nodejs/node/pull/65020
Needs Triage Or Clarification,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141154,refactor horizontal_test.go,High,98.4,6.51,kind/cleanup | sig/autoscaling | size/XXL | release-note-none | sig/apps | cncf-cla: yes | priority/important-longterm | tide/merge-method-squash | triage/accepted,https://github.com/kubernetes/kubernetes/pull/141154
Blocker Or External Dependency,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141099,kubectl kuberc view: fix panic when declining to generate a default file,High,98.3,17.3,kind/bug | area/kubectl | release-note | size/S | sig/cli | cncf-cla: yes | needs-ok-to-test | needs-priority | needs-triage,https://github.com/kubernetes/kubernetes/pull/141099
Needs Triage Or Clarification,Cloud Native Platform Reliability,kubernetes/kubernetes,Issue,141133,[Flaking Test] [sig-network] LoadBalancers [Feature:LoadBalancer] should be able to change the type and ports of a UDP service [Slow],High,98.3,5.42,sig/network | kind/flake | triage/unresolved,https://github.com/kubernetes/kubernetes/issues/141133
Blocker Or External Dependency,Cloud Native Platform Reliability,kubernetes/kubernetes,Issue,141121,"hack/README.md: writing quality issues (weasel words, comma splice, wordiness, missing space, passive voice)",High,98.3,16.29,kind/cleanup | sig/testing | needs-triage,https://github.com/kubernetes/kubernetes/issues/141121
Blocker Or External Dependency,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141086,Add atomic struct markers to EventSeries,High,98.3,3.75,kind/bug | area/test | sig/api-machinery | size/L | kind/api-change | release-note-none | cncf-cla: yes | sig/testing | area/code-generation | ok-to-test | needs-priority | api-review | needs-triage,https://github.com/kubernetes/kubernetes/pull/141086
Needs Triage Or Clarification,Cloud Native Platform Reliability,kubernetes/kubernetes,Issue,141166,Burndown: Quantity int64 overflow and checked accessors,High,98.3,8.3,kind/bug | kind/cleanup | sig/api-machinery | triage/accepted,https://github.com/kubernetes/kubernetes/issues/141166
Blocker Or External Dependency,Cloud Native Platform Reliability,kubernetes/kubernetes,Issue,141151,volumeattachment could not be cleanup while controller-manager restart after volumeattachment created because of csidriver created delay,High,98.2,12.99,kind/bug | sig/storage | needs-triage,https://github.com/kubernetes/kubernetes/issues/141151
Blocker Or External Dependency,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141148,apiserver: drop hardcoded storage version overrides,High,98.2,0.19,kind/cleanup | sig/scheduling | area/apiserver | sig/storage | sig/api-machinery | size/M | release-note-none | sig/auth | sig/apps | cncf-cla: yes | needs-priority | triage/accepted | wg/device-management,https://github.com/kubernetes/kubernetes/pull/141148
Blocker Or External Dependency,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141089,Fix node lifecycle controller to mark pods NotReady on False to Unknown transition,High,98.1,8.67,kind/bug | sig/node | size/M | sig/apps | cncf-cla: yes | needs-ok-to-test | do-not-merge/release-note-label-needed | needs-priority | needs-triage,https://github.com/kubernetes/kubernetes/pull/141089
Blocker Or External Dependency,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141118,dra: reject pools whose slices disagree on ResourceSliceCount,High,98.0,16.27,kind/bug | sig/scheduling | sig/node | release-note | size/L | cncf-cla: yes | needs-priority | needs-triage | wg/device-management,https://github.com/kubernetes/kubernetes/pull/141118
Needs Triage Or Clarification,Cloud Native Platform Reliability,kubernetes/kubernetes,Issue,141064,"in-place resizing of Guaranteed pods breaks conformance tests if ""static"" CPU Manager policy is used",High,98.0,12.18,kind/bug | sig/node | triage/accepted,https://github.com/kubernetes/kubernetes/issues/141064
Blocker Or External Dependency,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141170,[Quantity] Add a baseline accessor test matrix for the int64 overflow burndown,High,98.0,11.19,kind/cleanup | lgtm | sig/api-machinery | size/XL | release-note-none | approved | cncf-cla: yes | needs-priority | needs-triage,https://github.com/kubernetes/kubernetes/pull/141170
Blocker Or External Dependency,Cloud Native Platform Reliability,kubernetes/kubernetes,Issue,141087,kubectl rollout history: printer errors silently dropped when listing all revisions with -o flag,High,98.0,18.18,needs-sig | needs-triage,https://github.com/kubernetes/kubernetes/issues/141087
Blocker Or External Dependency,Cloud Native Platform Reliability,kubernetes/kubernetes,Issue,141119,kubelet eviction manager: transient HasDedicatedImageFs failure permanently disables disk-pressure eviction signals,High,97.9,15.46,sig/node | needs-triage,https://github.com/kubernetes/kubernetes/issues/141119
Blocker Or External Dependency,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141096,e2e/node: mark NFS host cleanup tests as Slow,High,97.8,13.31,area/test | kind/cleanup | sig/node | size/XS | release-note-none | cncf-cla: yes | sig/testing | needs-ok-to-test | needs-priority | needs-triage,https://github.com/kubernetes/kubernetes/pull/141096
Blocker Or External Dependency,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141068,kubelet: pass logger to swap utilities,High,97.7,0.02,area/kubelet | kind/cleanup | sig/storage | sig/node | size/S | release-note-none | cncf-cla: yes | sig/instrumentation | ok-to-test | needs-priority | needs-triage,https://github.com/kubernetes/kubernetes/pull/141068
Blocker Or External Dependency,Cloud Native Platform Reliability,kubernetes/kubernetes,Issue,141153,"managedfields.ExtractInto fails with ""expected map, got <nil>"" when the field manager owns only fields absent from the object (e.g. Secret stringData).",High,97.6,14.79,kind/bug | sig/api-machinery | wg/api-expression | needs-triage,https://github.com/kubernetes/kubernetes/issues/141153
Blocker Or External Dependency,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141111, etcd3: enable etcd client watch buffer backlog logging for all watches,High,97.6,0.18,area/apiserver | lgtm | sig/api-machinery | size/XS | kind/feature | release-note-none | approved | cncf-cla: yes | ok-to-test | needs-priority | triage/accepted | sig/etcd,https://github.com/kubernetes/kubernetes/pull/141111
