decision_lane,program,source_repo,item_type,item_number,title,state,risk_level,delay_risk_score,age_days,time_since_update_days,comment_count,labels,item_url,recommended_action
Delivery Review,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141070,memorymanager: restore pod hints from pod allocation,open,High,99.0,18.77,6.32,13,kind/bug | priority/critical-urgent | area/kubelet | lgtm | sig/node | release-note | size/M | cncf-cla: yes | triage/accepted,https://github.com/kubernetes/kubernetes/pull/141070,"Fast-Track Review Path, Resolve Review Bottlenecks, And Confirm Merge Readiness."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141106,dra/client: use the v1beta2 client for UpdateStatus,open,High,99.0,17.0,0.72,6,kind/bug | lgtm | sig/node | release-note | size/M | cncf-cla: yes | ok-to-test | needs-priority | needs-triage | wg/device-management,https://github.com/kubernetes/kubernetes/pull/141106,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141114,kubelet: test internal container lifecycle,open,High,98.9,16.59,15.98,6,area/kubelet | kind/cleanup | sig/node | size/L | release-note-none | cncf-cla: yes | needs-ok-to-test | needs-priority | needs-triage,https://github.com/kubernetes/kubernetes/pull/141114,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Runtime Platform Stabilization,nodejs/node,Pull Request,65017,perf_hooks: add missing resource timing attributes,open,High,98.9,14.44,14.32,2,needs-ci,https://github.com/nodejs/node/pull/65017,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Runtime Platform Stabilization,nodejs/node,Pull Request,65010,http: reject responses exceeding header limit,open,High,98.9,14.57,11.69,2,c++ | semver-major | http_parser | needs-ci,https://github.com/nodejs/node/pull/65010,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141098,client-go: fix RealFIFO.Resync wrapping the wrong error,open,High,98.9,17.32,6.47,12,kind/bug | lgtm | sig/api-machinery | size/S | release-note-none | approved | cncf-cla: yes | ok-to-test | needs-priority | needs-triage,https://github.com/kubernetes/kubernetes/pull/141098,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Delivery Review,Runtime Platform Stabilization,nodejs/node,Pull Request,64997,doc: narrow ReadableStreamBYOBRequest.view type to Uint8Array,open,High,98.8,15.0,13.68,1,doc,https://github.com/nodejs/node/pull/64997,"Fast-Track Review Path, Resolve Review Bottlenecks, And Confirm Merge Readiness."
Delivery Review,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141077,memorymanager: preserve restored pod allocations,open,High,98.8,18.41,6.34,15,kind/bug | priority/critical-urgent | area/kubelet | lgtm | sig/node | size/S | release-note-none | approved | cncf-cla: yes | triage/accepted,https://github.com/kubernetes/kubernetes/pull/141077,"Fast-Track Review Path, Resolve Review Bottlenecks, And Confirm Merge Readiness."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141108,DRA: invoke ResourceSlice update errors outside the controller lock,open,High,98.8,16.97,1.51,5,kind/bug | sig/node | release-note | size/M | cncf-cla: yes | needs-ok-to-test | needs-priority | needs-triage | wg/device-management,https://github.com/kubernetes/kubernetes/pull/141108,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Runtime Platform Stabilization,nodejs/node,Pull Request,65008,Create parent directories for test reporter destinations,open,High,98.8,14.58,1.13,3,needs-ci | test_runner,https://github.com/nodejs/node/pull/65008,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Issue,141103,DRA: ExtendedResourceCache serves stale mappings and can drop the winner across DeviceClass updates and collisions,open,High,98.7,17.04,16.83,2,kind/bug | sig/scheduling | needs-triage | wg/device-management,https://github.com/kubernetes/kubernetes/issues/141103,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Runtime Platform Stabilization,nodejs/node,Pull Request,65020,cluster: report EADDRINUSE when a worker listens twice on the same port,open,High,98.6,14.38,8.72,1,cluster | needs-ci,https://github.com/nodejs/node/pull/65020,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141168,Expand status field wiping detection,open,High,98.6,14.21,0.19,4,area/test | kind/cleanup | lgtm | sig/api-machinery | size/M | release-note-none | sig/apps | approved | cncf-cla: yes | sig/testing | needs-priority | triage/accepted,https://github.com/kubernetes/kubernetes/pull/141168,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Program Watchlist,Runtime Platform Stabilization,nodejs/node,Issue,65018,Enormous HTML documents causing some docs pages to crash and be unusable,open,High,98.5,14.38,13.3,8,doc,https://github.com/nodejs/node/issues/65018,"Move to the PMO watchlist, validate scope, and set the next decision date."
Delivery Review,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141154,refactor horizontal_test.go,open,High,98.4,14.73,6.51,6,kind/cleanup | sig/autoscaling | size/XXL | release-note-none | sig/apps | cncf-cla: yes | priority/important-longterm | tide/merge-method-squash | triage/accepted,https://github.com/kubernetes/kubernetes/pull/141154,"Fast-Track Review Path, Resolve Review Bottlenecks, And Confirm Merge Readiness."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141099,kubectl kuberc view: fix panic when declining to generate a default file,open,High,98.3,17.3,17.3,4,kind/bug | area/kubectl | release-note | size/S | sig/cli | cncf-cla: yes | needs-ok-to-test | needs-priority | needs-triage,https://github.com/kubernetes/kubernetes/pull/141099,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Issue,141121,"hack/README.md: writing quality issues (weasel words, comma splice, wordiness, missing space, passive voice)",open,High,98.3,16.29,16.29,2,kind/cleanup | sig/testing | needs-triage,https://github.com/kubernetes/kubernetes/issues/141121,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Quality Risk,Cloud Native Platform Reliability,kubernetes/kubernetes,Issue,141166,Burndown: Quantity int64 overflow and checked accessors,open,High,98.3,14.32,8.3,19,kind/bug | kind/cleanup | sig/api-machinery | triage/accepted,https://github.com/kubernetes/kubernetes/issues/141166,"Move to the PMO watchlist, validate scope, and set the next decision date."
Program Watchlist,Cloud Native Platform Reliability,kubernetes/kubernetes,Issue,141133,[Flaking Test] [sig-network] LoadBalancers [Feature:LoadBalancer] should be able to change the type and ports of a UDP service [Slow],open,High,98.3,15.84,5.42,2,sig/network | kind/flake | triage/unresolved,https://github.com/kubernetes/kubernetes/issues/141133,"Move to the PMO watchlist, validate scope, and set the next decision date."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141086,Add atomic struct markers to EventSeries,open,High,98.3,18.19,3.75,12,kind/bug | area/test | sig/api-machinery | size/L | kind/api-change | release-note-none | cncf-cla: yes | sig/testing | area/code-generation | ok-to-test | needs-priority | api-review | needs-triage,https://github.com/kubernetes/kubernetes/pull/141086,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Issue,141151,volumeattachment could not be cleanup while controller-manager restart after volumeattachment created because of csidriver created delay,open,High,98.2,14.95,12.99,5,kind/bug | sig/storage | needs-triage,https://github.com/kubernetes/kubernetes/issues/141151,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141148,apiserver: drop hardcoded storage version overrides,open,High,98.2,15.05,0.19,3,kind/cleanup | sig/scheduling | area/apiserver | sig/storage | sig/api-machinery | size/M | release-note-none | sig/auth | sig/apps | cncf-cla: yes | needs-priority | triage/accepted | wg/device-management,https://github.com/kubernetes/kubernetes/pull/141148,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141089,Fix node lifecycle controller to mark pods NotReady on False to Unknown transition,open,High,98.1,18.12,8.67,8,kind/bug | sig/node | size/M | sig/apps | cncf-cla: yes | needs-ok-to-test | do-not-merge/release-note-label-needed | needs-priority | needs-triage,https://github.com/kubernetes/kubernetes/pull/141089,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Issue,141087,kubectl rollout history: printer errors silently dropped when listing all revisions with -o flag,open,High,98.0,18.18,18.18,3,needs-sig | needs-triage,https://github.com/kubernetes/kubernetes/issues/141087,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141118,dra: reject pools whose slices disagree on ResourceSliceCount,open,High,98.0,16.35,16.27,3,kind/bug | sig/scheduling | sig/node | release-note | size/L | cncf-cla: yes | needs-priority | needs-triage | wg/device-management,https://github.com/kubernetes/kubernetes/pull/141118,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Quality Risk,Cloud Native Platform Reliability,kubernetes/kubernetes,Issue,141064,"in-place resizing of Guaranteed pods breaks conformance tests if ""static"" CPU Manager policy is used",open,High,98.0,19.09,12.18,17,kind/bug | sig/node | triage/accepted,https://github.com/kubernetes/kubernetes/issues/141064,"Move to the PMO watchlist, validate scope, and set the next decision date."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141170,[Quantity] Add a baseline accessor test matrix for the int64 overflow burndown,open,High,98.0,14.17,11.19,25,kind/cleanup | lgtm | sig/api-machinery | size/XL | release-note-none | approved | cncf-cla: yes | needs-priority | needs-triage,https://github.com/kubernetes/kubernetes/pull/141170,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Issue,141119,kubelet eviction manager: transient HasDedicatedImageFs failure permanently disables disk-pressure eviction signals,open,High,97.9,16.31,15.46,8,sig/node | needs-triage,https://github.com/kubernetes/kubernetes/issues/141119,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141096,e2e/node: mark NFS host cleanup tests as Slow,open,High,97.8,17.35,13.31,6,area/test | kind/cleanup | sig/node | size/XS | release-note-none | cncf-cla: yes | sig/testing | needs-ok-to-test | needs-priority | needs-triage,https://github.com/kubernetes/kubernetes/pull/141096,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141068,kubelet: pass logger to swap utilities,open,High,97.7,18.9,0.02,10,area/kubelet | kind/cleanup | sig/storage | sig/node | size/S | release-note-none | cncf-cla: yes | sig/instrumentation | ok-to-test | needs-priority | needs-triage,https://github.com/kubernetes/kubernetes/pull/141068,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Issue,141153,"managedfields.ExtractInto fails with ""expected map, got <nil>"" when the field manager owns only fields absent from the object (e.g. Secret stringData).",open,High,97.6,14.8,14.79,3,kind/bug | sig/api-machinery | wg/api-expression | needs-triage,https://github.com/kubernetes/kubernetes/issues/141153,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141111, etcd3: enable etcd client watch buffer backlog logging for all watches,open,High,97.6,16.77,0.18,9,area/apiserver | lgtm | sig/api-machinery | size/XS | kind/feature | release-note-none | approved | cncf-cla: yes | ok-to-test | needs-priority | triage/accepted | sig/etcd,https://github.com/kubernetes/kubernetes/pull/141111,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Issue,141115,kubectl get: PrintObj errors are silently discarded in human-readable output loop,open,High,97.5,16.44,15.36,5,kind/bug | sig/cli | needs-triage,https://github.com/kubernetes/kubernetes/issues/141115,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141102,adding reason tag DO NOT MERGE OR REVIEW; ITS A DRAFT PR.,open,High,97.5,17.11,15.31,12,sig/scheduling | area/provider/gcp | sig/storage | sig/node | sig/api-machinery | size/M | kind/api-change | sig/auth | sig/apps | cncf-cla: yes | do-not-merge/release-note-label-needed | area/code-generation | sig/cloud-provider | needs-priority | do-not-merge/contains-merge-commits | needs-triage,https://github.com/kubernetes/kubernetes/pull/141102,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141158,fix:volumeattachment could not be cleanup while controller-manager restart after volumeattachment created because of csidriver created delay,open,High,97.5,14.49,12.95,5,kind/bug | sig/storage | size/L | release-note-none | sig/apps | cncf-cla: yes | needs-priority | needs-triage,https://github.com/kubernetes/kubernetes/pull/141158,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Issue,141152,sig/network: API Server validation error message leaks full ClusterIP CIDR range to low-privileged users,open,High,97.4,14.86,5.43,3,kind/bug | area/security | sig/api-machinery | needs-triage,https://github.com/kubernetes/kubernetes/issues/141152,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Program Watchlist,Cloud Native Platform Reliability,kubernetes/kubernetes,Issue,141138,[Flaking Test] [sig-network] LoadBalancers ExternalTrafficPolicy: Local [Feature:LoadBalancer] should work for type=LoadBalancer [Slow],open,High,97.4,15.67,5.43,1,sig/network | kind/flake | triage/unresolved,https://github.com/kubernetes/kubernetes/issues/141138,"Move to the PMO watchlist, validate scope, and set the next decision date."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141132,kubelet: retry HasDedicatedImageFs on failure without blocking eviction sync loop,open,High,97.3,15.85,15.85,4,area/kubelet | sig/node | size/L | release-note-none | cncf-cla: yes | needs-ok-to-test | needs-priority | needs-triage | do-not-merge/needs-kind,https://github.com/kubernetes/kubernetes/pull/141132,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141129,Drop orphaned MySQL/Cassandra/Zookeeper e2e dependencies,open,High,97.2,16.06,16.05,5,area/test | kind/cleanup | size/XXL | release-note-none | sig/apps | cncf-cla: yes | sig/testing | needs-ok-to-test | needs-priority | needs-triage,https://github.com/kubernetes/kubernetes/pull/141129,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141143,importverifier: improve error handling and add tests,open,High,97.2,15.47,15.46,6,kind/cleanup | size/M | release-note-none | cncf-cla: yes | needs-ok-to-test | needs-priority | needs-triage | do-not-merge/needs-sig,https://github.com/kubernetes/kubernetes/pull/141143,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
